"Story","Title","Result","Date","Stability","Duration (s)"
"Category CRUD test","This test will create a new categories and verify it is generated","SUCCESS","2020-06-09T15:19:36.850+01:00[Europe/London]","0.0","10.28"
"Category CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-09T15:19:47.194+01:00[Europe/London]","0.0","0.11"
"Category CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-09T15:19:47.306+01:00[Europe/London]","0.0","0.41"
"Category CRUD test","This test will delete the categories information and verify the categories is deleted","SUCCESS","2020-06-09T15:19:47.718+01:00[Europe/London]","0.0","0.26"
"Product CRUD test","This test is creating a new products in list","SUCCESS","2020-06-09T15:19:50.532+01:00[Europe/London]","0.0","0.34"
"Product CRUD test","This test is getting a created product by ID","SUCCESS","2020-06-09T15:19:50.879+01:00[Europe/London]","0.0","0.08"
"Product CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-09T15:19:50.957+01:00[Europe/London]","0.0","0.31"
"Product CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-09T15:19:51.276+01:00[Europe/London]","0.0","0.23"
"Service CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-09T15:19:51.699+01:00[Europe/London]","0.0","0.27"
"Service CRUD test","This test will get the services information by ID","SUCCESS","2020-06-09T15:19:51.970+01:00[Europe/London]","0.0","0.05"
"Service CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-09T15:19:52.019+01:00[Europe/London]","0.0","0.33"
"Service CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-09T15:19:52.346+01:00[Europe/London]","0.0","0.49"
"Store CRUD test","Creating a new Store","SUCCESS","2020-06-09T15:19:52.970+01:00[Europe/London]","0.0","0.28"
"Store CRUD test","Getting a created Store","SUCCESS","2020-06-09T15:19:53.248+01:00[Europe/London]","0.0","0.03"
"Store CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-09T15:19:53.284+01:00[Europe/London]","0.0","0.33"
"Store CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-09T15:19:53.617+01:00[Europe/London]","0.0","0.18"
