"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the best buy categories application","check if the best buy categories application can be accessed by users","SUCCESS","2020-06-09T15:19:53.987+01:00[Europe/London]","0.0","0.35"
"Testing different requests on the best buy categories application","Create a new categories & verify if the categories is added","SUCCESS","2020-06-09T15:19:54.503+01:00[Europe/London]","0.0","0.33"
"Testing different requests on the best buy categories application","Getting categories information by Id","SUCCESS","2020-06-09T15:19:54.872+01:00[Europe/London]","0.0","0.03"
"Testing different requests on the best buy categories application","Update a created categories & verify if the categories is updated","SUCCESS","2020-06-09T15:19:54.983+01:00[Europe/London]","0.0","0.37"
"Testing different requests on the best buy categories application","Delete a created categories & verify the categories is deleted","SUCCESS","2020-06-09T15:19:55.450+01:00[Europe/London]","0.0","0.21"
"Category CRUD test","This test will create a new categories and verify it is generated","SUCCESS","2020-06-09T15:19:36.850+01:00[Europe/London]","0.0","10.28"
"Category CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-09T15:19:47.194+01:00[Europe/London]","0.0","0.11"
"Category CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-09T15:19:47.306+01:00[Europe/London]","0.0","0.41"
"Category CRUD test","This test will delete the categories information and verify the categories is deleted","SUCCESS","2020-06-09T15:19:47.718+01:00[Europe/London]","0.0","0.26"
"Product CRUD test","This test is creating a new products in list","SUCCESS","2020-06-09T15:19:50.532+01:00[Europe/London]","0.0","0.34"
"Product CRUD test","This test is getting a created product by ID","SUCCESS","2020-06-09T15:19:50.879+01:00[Europe/London]","0.0","0.08"
"Product CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-09T15:19:50.957+01:00[Europe/London]","0.0","0.31"
"Product CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-09T15:19:51.276+01:00[Europe/London]","0.0","0.23"
"Service CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-09T15:19:51.699+01:00[Europe/London]","0.0","0.27"
"Service CRUD test","This test will get the services information by ID","SUCCESS","2020-06-09T15:19:51.970+01:00[Europe/London]","0.0","0.05"
"Service CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-09T15:19:52.019+01:00[Europe/London]","0.0","0.33"
"Service CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-09T15:19:52.346+01:00[Europe/London]","0.0","0.49"
"Store CRUD test","Creating a new Store","SUCCESS","2020-06-09T15:19:52.970+01:00[Europe/London]","0.0","0.28"
"Store CRUD test","Getting a created Store","SUCCESS","2020-06-09T15:19:53.248+01:00[Europe/London]","0.0","0.03"
"Store CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-09T15:19:53.284+01:00[Europe/London]","0.0","0.33"
"Store CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-09T15:19:53.617+01:00[Europe/London]","0.0","0.18"
"Testing different requests on the best buy product application","check if the best buy product application can be accessed by users","SUCCESS","2020-06-09T15:19:55.849+01:00[Europe/London]","0.0","0.04"
"Testing different requests on the best buy product application","Create a new product & verify if the product is added","SUCCESS","2020-06-09T15:19:56.126+01:00[Europe/London]","0.0","0.31"
"Testing different requests on the best buy product application","Getting product information by Id","SUCCESS","2020-06-09T15:19:56.619+01:00[Europe/London]","0.0","0.1"
"Testing different requests on the best buy product application","Update a created product & verify if the product is updated","SUCCESS","2020-06-09T15:19:57.168+01:00[Europe/London]","0.0","0.28"
"Testing different requests on the best buy product application","Delete a created product & verify the product is deleted","SUCCESS","2020-06-09T15:19:57.723+01:00[Europe/London]","0.0","0.4"
"Testing different requests on the best buy services application","check if the best buy services application can be accessed by users","SUCCESS","2020-06-09T15:19:58.235+01:00[Europe/London]","0.0","0.03"
"Testing different requests on the best buy services application","Create a new services & verify if the services is added","SUCCESS","2020-06-09T15:19:58.499+01:00[Europe/London]","0.0","0.39"
"Testing different requests on the best buy services application","Getting services information by Id","SUCCESS","2020-06-09T15:19:59.221+01:00[Europe/London]","0.0","0.03"
"Testing different requests on the best buy services application","Update a created services & verify if the services is updated","SUCCESS","2020-06-09T15:19:59.434+01:00[Europe/London]","0.0","0.19"
"Testing different requests on the best buy services application","Delete a created services & verify the services is deleted","SUCCESS","2020-06-09T15:19:59.752+01:00[Europe/London]","0.0","0.28"
"Testing different requests on the best buy stores application","check if the best buy stores application can be accessed by users","SUCCESS","2020-06-09T15:20:00.312+01:00[Europe/London]","0.0","0.13"
"Testing different requests on the best buy stores application","Create a new stores & verify if the stores is added","SUCCESS","2020-06-09T15:20:00.678+01:00[Europe/London]","0.0","0.28"
"Testing different requests on the best buy stores application","Getting stores information by Id","SUCCESS","2020-06-09T15:20:01.233+01:00[Europe/London]","0.0","0.05"
"Testing different requests on the best buy stores application","Update a created store & verify if the store is updated","SUCCESS","2020-06-09T15:20:01.458+01:00[Europe/London]","0.0","0.31"
"Testing different requests on the best buy stores application","Delete a created store & verify the store is deleted","SUCCESS","2020-06-09T15:20:02.068+01:00[Europe/London]","0.0","0.25"
